"","total.num.var.onet","total.num.var.adlas","total.num.var.bort","total.num.var.bory"
"697",30,20,25,35
"698",34,20,28,28
"699",27,20,28,30
"700",29,20,30,23
"701",30,20,26,28
"702",37,21,29,30
"703",34,20,31,26
"704",31,19,28,29
"705",37,20,31,28
"706",32,21,29,30
"707",31,19,28,31
"708",29,19,26,28
"709",31,29,25,31
"710",32,21,25,31
"711",28,20,30,30
"712",32,18,24,27
"713",28,20,27,30
"714",33,19,29,25
"715",30,19,28,26
"716",33,20,27,32
"717",33,18,29,29
"718",33,21,29,25
"719",37,19,30,28
"720",33,20,25,24
"721",32,21,29,28
"722",31,20,30,33
"723",35,21,27,24
"724",32,20,26,25
"725",33,20,29,26
"726",34,19,28,29
"727",33,20,27,26
"728",35,20,31,29
"729",32,18,28,26
"730",28,21,30,31
"731",31,20,26,30
"732",31,18,28,27
"733",34,19,26,30
"734",34,20,27,31
"735",35,20,27,29
"736",35,20,28,25
"737",32,20,25,28
"738",32,20,31,27
"739",34,21,30,27
"740",29,19,26,26
"741",31,19,31,28
"742",27,18,29,30
"743",34,18,27,27
"744",30,20,31,24
"745",29,20,29,28
"746",33,20,28,31
"747",35,20,25,28
"748",32,20,27,31
"749",33,20,27,30
"750",31,7,29,28
"751",30,18,28,29
"752",31,21,27,27
"753",31,19,29,28
"754",29,20,30,27
"755",27,19,28,25
"756",32,20,29,30
"757",32,29,29,27
"758",34,19,27,30
"759",29,20,28,26
"760",34,20,27,29
"761",30,20,27,26
"762",34,20,27,32
"763",28,20,27,28
"764",35,21,28,27
"765",30,17,28,27
"766",35,20,29,30
"767",27,19,25,31
"768",29,20,28,30
"769",30,20,27,29
"770",29,19,26,28
"771",34,20,28,31
"772",31,19,28,30
"773",35,19,28,32
"774",30,19,28,27
"775",37,20,29,25
"776",31,28,29,28
"777",35,22,30,28
"778",29,20,26,27
"779",33,20,29,31
"780",32,18,28,32
"781",35,16,30,21
"782",34,20,30,28
"783",31,20,28,29
"784",34,19,30,29
"785",29,17,27,28
"786",32,18,31,28
"787",34,19,27,28
"788",34,20,28,30
"789",29,20,28,28
"790",28,20,29,31
"791",32,20,28,25
"792",29,20,28,26
"793",28,20,29,29
"794",32,19,29,28
"795",31,20,29,33
"796",33,21,29,28
"797",32,21,32,26
"798",33,19,30,33
"799",33,19,29,28
"800",33,20,27,28
"801",31,21,29,32
"802",28,19,28,30
"803",32,20,27,28
"804",33,21,30,26
"805",33,20,30,26
"806",30,20,29,28
"807",35,21,29,27
"808",32,21,28,30
"809",30,19,31,26
"810",33,20,27,22
"811",26,22,27,28
"812",28,19,28,32
"813",29,19,29,26
"814",30,20,27,29
"815",34,19,31,29
"816",31,19,27,28
"817",33,21,31,30
"818",34,20,27,28
"819",31,17,28,29
"820",32,18,29,29
"821",30,19,31,28
"822",30,20,31,30
"823",34,20,27,24
"824",30,19,28,25
"825",36,21,27,33
"826",33,20,29,27
"827",31,18,28,26
"828",34,20,27,29
"829",31,20,26,26
"830",29,19,29,30
"831",31,19,29,28
"832",29,21,28,27
"833",33,20,26,28
"834",35,18,27,27
"835",30,20,26,24
"836",34,19,29,26
"837",35,20,26,32
"838",32,20,26,30
"839",35,19,28,28
"840",34,20,30,29
"841",32,21,29,30
"842",33,20,30,29
"843",35,18,27,26
"844",32,21,27,28
"845",35,20,29,29
"846",30,20,26,26
"847",34,21,28,26
"848",30,22,27,33
"849",32,21,26,28
"850",31,21,29,25
"851",36,21,29,27
"852",31,20,27,27
"853",29,17,26,30
"854",33,19,30,28
"855",31,20,29,29
"856",32,20,27,26
"857",31,21,29,28
"858",35,20,30,28
"859",30,18,28,32
"860",31,28,28,28
"861",35,31,26,28
"862",28,20,27,29
"863",32,19,24,29
"864",33,21,27,30
"865",31,20,25,31
"866",29,22,30,26
"867",31,18,28,26
"868",32,19,27,28
"869",34,19,29,29
"870",34,21,28,23
"871",33,20,29,33
"872",33,17,24,29
"873",34,31,32,30
"874",31,26,28,32
"875",28,18,28,32
"876",36,19,26,33
"877",35,19,26,29
"878",32,20,28,29
"879",31,19,28,29
"880",29,19,28,30
"881",36,20,27,28
"882",32,22,34,30
"883",31,19,29,29
"884",30,19,28,30
"885",30,19,26,30
"886",34,20,28,32
"887",33,20,26,26
"888",30,21,26,29
"889",34,19,24,29
"890",34,19,28,22
"891",29,20,27,28
"892",32,19,30,30
"893",34,19,29,31
"894",31,20,27,28
"895",34,18,27,25
"896",34,19,29,27
"897",28,19,25,29
"898",32,20,31,29
"899",31,21,28,26
"900",32,32,27,29
"901",34,21,29,23
"902",32,19,28,32
"903",29,20,27,29
"904",32,18,27,28
"905",36,20,28,28
"906",34,18,27,29
"907",28,18,30,24
"908",37,20,28,28
"909",34,19,28,30
"910",32,21,25,28
"911",34,20,31,32
"912",30,20,29,25
"913",33,20,32,29
"914",31,20,29,25
"915",27,20,29,27
"916",30,21,27,31
"917",32,20,30,31
"918",28,19,28,33
"919",34,19,28,30
"920",32,21,28,29
"921",31,18,27,30
"922",33,21,31,27
"923",29,19,27,26
"924",31,19,27,27
"925",29,19,29,27
"926",33,19,28,26
"927",30,21,27,26
"928",31,20,28,29
"929",35,22,31,24
"930",32,19,29,24
"931",27,6,26,28
"932",30,19,26,25
"933",32,19,30,27
"934",30,29,29,28
"935",33,20,30,28
"936",36,21,29,28
"937",33,19,28,30
"938",30,20,28,31
"939",28,21,27,31
"940",33,19,28,33
"941",25,21,28,30
"942",29,19,30,32
"943",32,19,27,32
"944",31,20,30,30
"945",33,20,26,31
"946",36,20,29,26
"947",31,28,27,28
"948",28,20,28,27
"949",33,20,28,27
"950",33,20,24,30
"951",33,19,29,27
"952",30,21,29,31
"953",32,20,28,30
"954",36,18,28,28
"955",31,20,26,30
"956",34,29,27,28
"957",32,20,27,30
"958",32,19,29,28
"959",35,20,30,28
"960",30,20,28,26
"961",32,20,28,28
"962",35,21,27,26
"963",34,20,27,32
"964",30,19,28,26
"965",34,20,29,26
"966",31,20,27,28
"967",31,20,28,26
